Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pHis3_01	Peptides pHis3_02	Peptides pHis3_03	Peptides SMC1_01	Peptides SMC1_02	Peptides SMC1_03	Razor + unique peptides pHis3_01	Razor + unique peptides pHis3_02	Razor + unique peptides pHis3_03	Razor + unique peptides SMC1_01	Razor + unique peptides SMC1_02	Razor + unique peptides SMC1_03	Unique peptides pHis3_01	Unique peptides pHis3_02	Unique peptides pHis3_03	Unique peptides SMC1_01	Unique peptides SMC1_02	Unique peptides SMC1_03	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type pHis3_01	Identification type pHis3_02	Identification type pHis3_03	Identification type SMC1_01	Identification type SMC1_02	Identification type SMC1_03	Sequence coverage pHis3_01 [%]	Sequence coverage pHis3_02 [%]	Sequence coverage pHis3_03 [%]	Sequence coverage SMC1_01 [%]	Sequence coverage SMC1_02 [%]	Sequence coverage SMC1_03 [%]	Intensity	Intensity pHis3_01	Intensity pHis3_02	Intensity pHis3_03	Intensity SMC1_01	Intensity SMC1_02	Intensity SMC1_03	LFQ intensity pHis3_01	LFQ intensity pHis3_02	LFQ intensity pHis3_03	LFQ intensity SMC1_01	LFQ intensity SMC1_02	LFQ intensity SMC1_03	MS/MS count pHis3_01	MS/MS count pHis3_02	MS/MS count pHis3_03	MS/MS count SMC1_01	MS/MS count SMC1_02	MS/MS count SMC1_03	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
D6VTK4	D6VTK4	1	1	1	Pheromone alpha factor receptor	STE2	sp|D6VTK4|STE2_YEAST Pheromone alpha factor receptor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE2 PE=1 SV=2	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	5.8	5.8	5.8	47.848	431	431	0	7.9193		By matching	By matching	By MS/MS	By matching	By MS/MS	0	5.8	5.8	5.8	5.8	5.8	19386000	0	2130200	6578500	3955700	1825900	4895200	0	3608500	3097400	6539300	4301900	3842300	0	0	0	1	0	1	2				10	10247	True	10744	53808;53809;53810;53811;53812	39706;39707	39706		
O13329	O13329	1	1	1	DNA replication fork-blocking protein FOB1	FOB1	sp|O13329|FOB1_YEAST DNA replication fork-blocking protein FOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FOB1 PE=1 SV=2	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1.4	1.4	1.4	65.318	566	566	0.0051622	2.1082			By MS/MS			By matching	0	0	1.4	0	0	1.4	5307500	0	0	2463700	0	0	2843700	0	0	1099100	0	0	2141700	0	0	1	0	0	0	1				11	11256	True	11790	59359;59360	43849	43849		
O13516	O13516	25	1	1	40S ribosomal protein S9-A	RPS9A	sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	1	25	1	1	17	21	19	19	22	20	0	1	1	1	1	1	0	1	1	1	1	1	68	9.1	9.1	22.443	197	197	0	22.771	By matching	By matching	By matching	By matching	By matching	By MS/MS	55.3	64.5	67.5	60.9	65	67.5	17845000	0	45724	5010500	1456200	1841500	9491500	0	278380	1478800	1490500	2177000	11142000	0	0	0	0	0	2	2				12	1326;3599;3600;4681;4997;5237;5238;5561;5721;5722;5738;5739;5740;5791;5792;6640;8322;8672;8686;8714;8715;11068;11069;11213;11214	False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	1382;3739;3740;4881;5207;5454;5455;5801;5963;5964;5981;5982;5983;6036;6037;6920;8741;8742;9102;9116;9144;9145;11595;11596;11746;11747	7225;7226;7227;7228;7229;7230;7231;18813;18814;18815;18816;18817;18818;18819;18820;18821;18822;18823;18824;18825;18826;18827;18828;24405;24406;24407;24408;24409;24410;26043;26044;26045;26046;26047;26048;26049;27412;27413;27414;27415;27416;27417;27418;27419;27420;27421;27422;27423;27424;27425;27426;27427;27428;27429;27430;27431;27432;27433;27434;27435;27436;27437;27438;27439;27440;27441;27442;27443;27444;27445;27446;27447;27448;29394;29395;29396;29397;29398;29399;29400;29401;30121;30122;30123;30124;30125;30126;30127;30128;30129;30130;30131;30132;30133;30134;30135;30136;30137;30138;30199;30200;30201;30202;30203;30204;30205;30206;30207;30208;30209;30210;30211;30428;30429;30430;30431;30432;30433;34735;34736;34737;34738;34739;34740;34741;43552;43553;43554;43555;43556;43557;43558;43559;43560;43561;43562;43563;43564;43565;45264;45265;45266;45267;45268;45269;45270;45271;45272;45273;45348;45442;45443;45444;45445;45446;45447;45448;58275;58276;58277;58278;58279;58280;58281;58282;58283;58284;59097;59098;59099;59100;59101;59102;59103;59104;59105	5357;5358;5359;5360;5361;5362;5363;13871;13872;13873;13874;13875;13876;13877;13878;13879;13880;13881;18019;18020;18021;18022;18023;19222;19223;20205;20206;20207;20208;20209;20210;20211;20212;20213;20214;20215;20216;20217;20218;20219;20220;20221;20222;20223;20224;20225;21638;21639;21640;21641;21642;22182;22183;22184;22185;22186;22187;22188;22189;22190;22191;22192;22193;22194;22195;22196;22241;22242;22243;22244;22245;22246;22247;22248;22249;22250;22418;22419;22420;22421;22422;22423;25640;25641;25642;25643;25644;32174;32175;32176;32177;32178;32179;32180;32181;32182;32183;32184;32185;33413;33414;33415;33416;33417;33418;33419;33420;33477;33541;33542;33543;33544;33545;43031;43032;43033;43034;43035;43036;43037;43654;43655;43656;43657	5360;13873;13876;18023;19222;20206;20218;21641;22185;22196;22241;22245;22249;22419;22423;25641;32184;33413;33477;33541;33545;43031;43035;43655;43657	7	147
O13563-2;O13563	O13563-2;O13563	4;4	4;4	4;4	26S proteasome regulatory subunit RPN13	RPN13	sp|O13563-2|RPN13_YEAST Isoform of O13563, Isoform 2 of 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13;sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerev	2	4	4	4	2	4	3	4	4	2	2	4	3	4	4	2	2	4	3	4	4	2	33.8	33.8	33.8	17.684	154	154;156	0	15.439	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.1	33.8	26.6	33.8	33.8	18.2	275980000	39036000	11087000	100130000	38577000	7247200	79902000	49665000	20424000	33938000	45867000	22023000	56518000	2	1	2	5	3	2	15				13	1835;3987;7963;12138	True;True;True;True	1905;1906;4149;8369;12708	9837;9838;9839;9840;9841;9842;9843;9844;9845;9846;9847;9848;9849;9850;20851;20852;20853;20854;41873;41874;41875;41876;64256;64257;64258;64259;64260	7257;7258;7259;7260;7261;7262;15335;15336;15337;30936;30937;47531;47532;47533;47534	7260;15335;30937;47533	8	72
O13585	O13585	2	2	2	Dilute domain-containing protein YPR089W		sp|O13585|YP089_YEAST Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR089W PE=1 SV=2	1	2	2	2	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	2.9	2.9	2.9	102.58	888	888	0	6.6667	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	1.5	2.9	1.5	1.5	2.9	1.5	36949000	5311000	8350400	9748600	2860300	4726700	5952100	5999200	11018000	6987000	7289100	7084200	7201900	1	2	1	0	2	1	7				14	1500;12411	True;True	1562;12988	8131;8132;8133;8134;8135;65660;65661;65662	6032;6033;6034;6035;48610;48611;48612	6032;48610		
O14455	O14455	8	8	2	60S ribosomal protein L36-B	RPL36B	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3	1	8	8	2	7	7	7	7	5	6	7	7	7	7	5	6	2	2	2	2	2	2	51	51	10	11.135	100	100	0	92.602	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50	50	41	50	33	41	7750400000	1676300000	891540000	2048100000	809520000	270120000	2054800000	1181900000	1438300000	1147800000	1242300000	980280000	1465300000	11	9	10	9	12	10	61				15	439;1723;5470;8677;10268;11074;11075;11774	True;True;True;True;True;True;True;True	465;466;1790;5702;5703;9107;10765;11601;11602;11603;12328;12329	2505;2506;2507;2508;2509;2510;2511;2512;2513;2514;2515;2516;2517;2518;2519;9303;9304;9305;9306;28792;28793;28794;28795;28796;28797;28798;28799;28800;28801;28802;28803;28804;28805;28806;28807;28808;28809;28810;28811;45290;45291;45292;45293;45294;45295;45296;45297;45298;45299;53911;53912;53913;53914;53915;58308;58309;58310;58311;58312;58313;58314;58315;58316;58317;58318;58319;58320;58321;62284;62285;62286;62287;62288;62289;62290;62291;62292;62293;62294;62295	1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;6862;6863;6864;6865;21197;21198;21199;21200;21201;21202;21203;21204;21205;21206;21207;33432;33433;33434;33435;33436;33437;33438;33439;33440;33441;39785;39786;39787;43050;43051;43052;43053;43054;43055;43056;43057;43058;43059;43060;46059;46060;46061;46062;46063;46064;46065;46066;46067;46068;46069	1916;6862;21200;33432;39786;43052;43060;46067	9;10	20;90
O14467	O14467	1	1	1	Multiprotein-bridging factor 1	MBF1	sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	9.9	9.9	9.9	16.403	151	151	0	4.6132		By matching		By matching	By MS/MS		0	9.9	0	9.9	9.9	0	22804000	0	10511000	0	9346100	2946900	0	0	17751000	0	16016000	7019400	0	0	0	0	0	1	0	1				16	4482	True	4673	23342;23343;23344	17214	17214		
P0CX58;P0CX57;O74302	P0CX58;P0CX57;O74302	21;21;21	1;1;1	0;0;0	Transposon Ty1-PR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-A Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR4 Gag polyprotein;Capsid protein;Gag-p4	TY1A-PR1;TY1A-A;TY1A-DR4	sp|P0CX58|YP12A_YEAST Transposon Ty1-PR1 Gag polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1A-PR1 PE=2 SV=1;sp|P0CX57|YA11A_YEAST Transposon Ty1-A Gag polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c	3	21	1	0	16	15	21	17	18	18	0	0	1	0	1	1	0	0	0	0	0	0	56.4	4.8	0	49.072	440	440;440;440	1	-2	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	49.3	46.4	56.4	50.7	53.2	53.4	220640000	0	0	155280000	0	11517000	53844000	0	0	69272000	0	30298000	40551000	0	0	1	0	1	1	3	+			17	299;1224;2078;2079;2498;3205;3656;3712;5509;6491;7176;7327;7899;8698;9899;9901;10028;10941;11762;11763;12549	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False	315;1277;2157;2158;2586;3320;3801;3802;3861;5747;6761;7485;7486;7676;7677;8301;9128;10380;10382;10516;11464;11465;12315;12316;13130	1717;1718;1719;1720;1721;1722;6728;6729;10892;10893;10894;10895;10896;10897;10898;10899;10900;10901;10902;10903;10904;10905;10906;10907;10908;10909;10910;10911;10912;10913;10914;10915;13059;13060;13061;13062;13063;13064;16670;16671;16672;16673;16674;19134;19135;19136;19137;19138;19139;19140;19141;19142;19143;19144;19145;19146;19147;19148;19149;19150;19151;19152;19153;19398;29075;29076;29077;29078;29079;29080;33921;33922;33923;33924;33925;33926;33927;33928;37526;37527;37528;37529;37530;37531;37532;37533;37534;37535;37536;37537;38444;38445;38446;38447;38448;38449;38450;38451;38452;38453;38454;38455;41542;41543;41544;41545;41546;45383;45384;45385;45386;45387;51948;51949;51950;51951;51952;51953;51959;51960;51961;52716;52717;52718;52719;52720;52721;52722;52723;52724;52725;52726;52727;57619;57620;57621;57622;57623;57624;57625;57626;57627;57628;62185;62186;62187;62188;62189;62190;62191;62192;62193;62194;62195;62196;62197;62198;62199;62200;62201;62202;62203;62204;66354;66355;66356	1316;1317;1318;1319;1320;4990;4991;7992;7993;7994;7995;7996;7997;7998;7999;8000;8001;8002;8003;8004;8005;8006;8007;8008;8009;8010;8011;8012;8013;8014;8015;8016;9560;9561;9562;9563;9564;9565;12281;12282;12283;14112;14113;14114;14115;14116;14117;14118;14119;14120;14121;14122;14292;21392;21393;21394;21395;21396;25047;25048;25049;25050;25051;25052;25053;27728;27729;27730;27731;27732;27733;27734;27735;27736;28401;28402;28403;28404;28405;28406;28407;28408;30699;30700;30701;30702;33498;33499;33500;33501;38309;38310;38311;38312;38313;38314;38318;38319;38320;38887;38888;38889;38890;38891;38892;42566;42567;42568;42569;42570;42571;42572;42573;42574;42575;42576;42577;45979;45980;45981;45982;45983;45984;45985;45986;45987;45988;45989;45990;45991;45992;45993;49124;49125	1320;4990;7997;8016;9565;12281;14117;14292;21396;25050;27730;28408;30700;33500;38314;38320;38889;42571;45983;45991;49125	11;12;13;14	1;259;314;334
P00044;P00045	P00044	3;1	3;1	3;1	Cytochrome c iso-1	CYC1	sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2	2	3	3	3	2	2	3	2	3	3	2	2	3	2	3	3	2	2	3	2	3	3	33	33	33	12.182	109	109;113	0	33.715	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25.7	17.4	33	17.4	33	33	271830000	23698000	19289000	123310000	16700000	14861000	73973000	24046000	49139000	46985000	39674000	30160000	43412000	2	2	3	2	2	3	14				18	3720;7112;11197	True;True;True	3869;7409;11730	19447;19448;19449;19450;37190;37191;37192;37193;37194;59035;59036;59037;59038;59039;59040	14327;14328;14329;14330;27485;27486;27487;27488;43606;43607;43608;43609;43610;43611	14327;27486;43609		
P00330;P00331;P38113	P00330	22;6;1	22;6;1	20;5;1	Alcohol dehydrogenase 1	ADH1	sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	3	22	22	20	14	19	17	19	19	15	14	19	17	19	19	15	13	18	15	18	17	13	68.7	68.7	60.6	36.849	348	348;348;351	0	113.01	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.6	56.6	60.1	56.6	62.4	54	6753600000	1395900000	916780000	2055800000	893890000	613290000	877990000	1440000000	1508000000	869840000	1516000000	1586900000	598180000	19	15	18	21	18	13	104				19	630;644;869;1042;1245;1571;1790;3434;3435;4064;6557;8832;9172;9173;9174;9210;9230;9589;11407;11829;12466;12558	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	666;681;682;914;1092;1298;1636;1859;3561;3562;4230;6833;6834;9264;9265;9622;9623;9624;9660;9681;10058;11951;12385;13044;13139	3545;3546;3547;3548;3549;3550;3551;3552;3622;3623;3624;3625;3626;3627;3628;3629;3630;3631;3632;3633;4829;4830;4831;4832;4833;5877;5878;5879;6826;6827;6828;6829;6830;8509;8510;8511;8512;8513;9644;9645;9646;9647;9648;9649;9650;9651;17885;17886;17887;17888;17889;17890;17891;17892;17893;17894;17895;17896;17897;21219;21220;21221;34313;34314;34315;34316;46106;46107;46108;46109;46110;46111;46112;48139;48140;48141;48142;48143;48144;48145;48146;48147;48148;48149;48150;48151;48152;48324;48325;48326;48436;48437;48438;48439;48440;48441;50379;50380;50381;50382;50383;50384;50385;50386;50387;50388;60203;60204;60205;60206;60207;60208;60209;60210;62583;62584;62585;62586;62587;62588;65952;65953;65954;66397;66398;66399;66400;66401;66402;66403;66404	2661;2662;2663;2664;2665;2666;2716;2717;2718;2719;2720;2721;2722;2723;2724;2725;2726;2727;3618;3619;3620;3621;3622;4399;4400;5058;5059;5060;6307;6308;6309;6310;7113;7114;7115;7116;7117;13174;13175;13176;13177;13178;13179;13180;13181;13182;15617;15618;15619;25335;25336;34035;34036;34037;34038;34039;34040;34041;35447;35448;35449;35450;35451;35452;35453;35454;35596;35597;35598;35670;35671;35672;35673;35674;37141;37142;37143;37144;37145;37146;37147;37148;37149;37150;44459;44460;44461;44462;44463;44464;46291;46292;46293;46294;46295;46296;48822;48823;49151;49152;49153;49154;49155;49156	2664;2725;3620;4399;5059;6307;7116;13178;13182;15619;25336;34035;35447;35450;35454;35597;35673;37149;44461;46296;48823;49153	15;16;17	76;169;271
P00358	P00358	34	6	5	Glyceraldehyde-3-phosphate dehydrogenase 2	TDH2	sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	1	34	6	5	28	34	28	32	33	23	4	6	4	6	6	2	3	5	3	5	5	1	79.2	30.7	23.5	35.846	332	332	0	76.075	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	71.4	79.2	73.8	79.2	79.2	66.9	754780000	136970000	207210000	110420000	167880000	86784000	45519000	128560000	293980000	32649000	222970000	207950000	41784000	10	12	1	7	10	2	42				20	1841;1842;1843;2049;2050;3595;3596;3838;3839;4906;5318;5479;5480;6462;6463;6861;6862;7023;8060;10105;10839;10840;10966;11289;11466;11600;11601;11653;11809;11810;11837;11838;12052;12102	False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False	1912;1913;1914;2128;2129;3735;3736;3990;3991;5113;5542;5543;5712;5713;5714;5715;5716;5717;6732;6733;7146;7147;7148;7149;7315;8467;8468;10599;11355;11356;11491;11827;11828;11829;12010;12144;12145;12201;12365;12366;12393;12394;12395;12396;12397;12398;12621;12672	9876;9877;9878;9879;9880;9881;9882;9883;9884;9885;9886;9887;9888;9889;9890;9891;9892;9893;10730;10731;10732;10733;10734;10735;10736;10737;10738;10739;10740;10741;10742;10743;18792;18793;18794;18795;18796;18797;18798;18799;18800;18801;20045;20046;20047;20048;20049;20050;20051;20052;20053;25524;25525;25526;25527;25528;25529;25530;25531;25532;25533;25534;25535;27873;27874;27875;27876;27877;27878;27879;27880;27881;28864;28865;28866;28867;28868;28869;28870;28871;28872;28873;28874;28875;28876;28877;28878;28879;28880;28881;28882;28883;28884;28885;28886;28887;28888;28889;28890;28891;28892;28893;28894;28895;28896;33783;33784;33785;33786;33787;33788;33789;33790;33791;33792;33793;33794;33795;33796;33797;33798;33799;35906;35907;35908;35909;35910;35911;35912;35913;35914;35915;35916;35917;35918;35919;35920;35921;35922;35923;35924;36770;36771;36772;36773;36774;36775;36776;36777;36778;36779;36780;36781;36782;36783;36784;36785;36786;42345;42346;42347;42348;42349;42350;42351;42352;42353;42354;42355;53137;53138;53139;53140;53141;53142;53143;53144;53145;53146;53147;53148;56827;56828;56829;56830;56831;56832;56833;56834;56835;56836;56837;56838;56839;56840;56841;56842;56843;57775;57776;57777;57778;57779;59556;59557;59558;59559;59560;59561;59562;59563;59564;59565;59566;59567;59568;59569;59570;59571;59572;59573;59574;59575;59576;59577;59578;59579;59580;60559;60560;60561;60562;60563;61310;61311;61312;61313;61314;61315;61316;61317;61318;61319;61320;61321;61322;61323;61324;61325;61326;61327;61328;61329;61330;61331;61332;61588;61589;61590;61591;61592;61593;61594;61595;61596;61597;61598;61599;62440;62441;62442;62443;62444;62445;62446;62447;62448;62449;62450;62451;62452;62453;62454;62455;62456;62457;62458;62459;62460;62461;62462;62617;62618;62619;62620;62621;62622;62623;62624;62625;62626;62627;62628;62629;62630;62631;62632;62633;62634;62635;62636;62637;62638;62639;62640;62641;62642;62643;62644;62645;62646;62647;62648;62649;62650;62651;62652;62653;62654;62655;62656;62657;62658;62659;62660;62661;62662;62663;62664;62665;62666;62667;62668;62669;62670;62671;62672;62673;62674;62675;62676;62677;63766;63767;63768;63769;63770;63771;63772;64060;64061;64062;64063;64064;64065	7279;7280;7281;7282;7283;7284;7285;7286;7287;7872;7873;7874;7875;7876;7877;7878;7879;13854;13855;13856;13857;13858;13859;13860;13861;14745;14746;14747;14748;18832;18833;18834;18835;18836;18837;18838;18839;18840;18841;18842;18843;18844;20537;20538;20539;20540;20541;20542;20543;21243;21244;21245;21246;21247;21248;21249;21250;21251;21252;21253;21254;21255;21256;21257;21258;21259;21260;21261;21262;21263;21264;21265;21266;21267;21268;24944;24945;24946;24947;24948;24949;24950;24951;24952;24953;24954;24955;24956;24957;24958;26496;26497;26498;26499;26500;26501;26502;26503;26504;26505;26506;26507;26508;26509;26510;27166;27167;27168;27169;27170;27171;27172;27173;27174;27175;31272;31273;31274;31275;31276;31277;31278;31279;31280;31281;39199;39200;39201;39202;39203;39204;39205;39206;39207;39208;41953;41954;41955;41956;41957;41958;41959;41960;41961;41962;41963;41964;41965;41966;41967;41968;42678;42679;42680;42681;42682;43993;43994;43995;43996;43997;43998;43999;44000;44001;44002;44003;44004;44005;44006;44007;44008;44009;44734;44735;44736;45315;45316;45317;45318;45319;45320;45321;45322;45323;45324;45325;45326;45327;45328;45329;45330;45331;45332;45333;45530;45531;45532;45533;45534;45535;45536;45537;45538;45539;45540;46180;46181;46182;46183;46184;46185;46186;46187;46188;46189;46190;46191;46192;46193;46194;46195;46196;46197;46198;46199;46200;46201;46202;46203;46318;46319;46320;46321;46322;46323;46324;46325;46326;46327;46328;46329;46330;46331;46332;46333;46334;46335;46336;46337;46338;46339;46340;46341;46342;46343;46344;46345;46346;46347;46348;46349;46350;46351;46352;46353;46354;46355;47174;47175;47176;47177;47387;47388;47389;47390	7279;7281;7286;7872;7874;13858;13861;14745;14747;18834;20540;21249;21258;24944;24952;26498;26508;27175;31276;39199;41954;41962;42682;44002;44736;45328;45331;45533;46188;46194;46329;46351;47176;47390	18;19;20;21;22;23	44;128;131;173;179;229
